time,r_LVLH_C_x,r_LVLH_C_y,r_LVLH_C_z,roll,pitch,yaw
43.52,0.7732565485151686,-0.013511192019188172,0.0,29.999999999999996,20.0,10.0
43.53,0.7730903882280252,-0.013506085427877849,0.0,29.999999999999996,20.0,10.0
43.54,0.7729242283533592,-0.0135009750766962,0.0,29.999999999999996,20.0,10.0
43.550000000000004,0.7727580688911913,-0.013495860965652548,0.0,29.999999999999996,20.0,10.0
43.56,0.7725919098415432,-0.013490743094756234,0.0,29.999999999999996,20.0,10.0
43.57,0.7724257512044361,-0.013485621464016596,0.0,29.999999999999996,20.0,10.0
43.58,0.7722595929798912,-0.013480496073442958,0.0,29.999999999999996,20.0,10.0
43.59,0.7720934351679296,-0.013475366923044664,0.0,29.999999999999996,20.0,10.0
43.6,0.7719272777685731,-0.013470234012831048,0.0,29.999999999999996,20.0,10.0
43.61,0.7717611207818424,-0.013465097342811445,0.0,29.999999999999996,20.0,10.0
43.62,0.7715949642077591,-0.013459956912995192,0.0,29.999999999999996,20.0,10.0
43.63,0.7714288080463441,-0.013454812723391621,0.0,29.999999999999996,20.0,10.0
43.64,0.7712626522976191,-0.013449664774010082,0.0,29.999999999999996,20.0,10.0
43.65,0.7710964969616053,-0.013444513064859902,0.0,29.999999999999996,20.0,10.0
43.660000000000004,0.7709303420383238,-0.013439357595950423,0.0,29.999999999999996,20.0,10.0
43.67,0.7707641875277959,-0.01343419836729099,0.0,29.999999999999996,20.0,10.0
43.68,0.7705980334300429,-0.013429035378890935,0.0,29.999999999999996,20.0,10.0
43.69,0.7704318797450862,-0.013423868630759603,0.0,29.999999999999996,20.0,10.0
43.7,0.7702657264729466,-0.013418698122906324,0.0,29.999999999999996,20.0,10.0
43.71,0.7700995736136459,-0.013413523855340455,0.0,29.999999999999996,20.0,10.0
43.72,0.7699334211672051,-0.013408345828071327,0.0,29.999999999999996,20.0,10.0
43.730000000000004,0.7697672691336456,-0.013403164041108284,0.0,29.999999999999996,20.0,10.0
43.74,0.7696011175129887,-0.013397978494460672,0.0,29.999999999999996,20.0,10.0
43.75,0.7694349663052553,-0.01339278918813783,0.0,29.999999999999996,20.0,10.0
43.76,0.7692688155104672,-0.013387596122149105,0.0,29.999999999999996,20.0,10.0
43.77,0.7691026651286452,-0.013382399296503832,0.0,29.999999999999996,20.0,10.0
43.78,0.768936515159811,-0.01337719871121137,0.0,29.999999999999996,20.0,10.0
43.79,0.7687703656039855,-0.013371994366281052,0.0,29.999999999999996,20.0,10.0
43.800000000000004,0.76860421646119,-0.013366786261722226,0.0,29.999999999999996,20.0,10.0
43.81,0.768438067731446,-0.013361574397544243,0.0,29.999999999999996,20.0,10.0
43.82,0.7682719194147747,-0.013356358773756445,0.0,29.999999999999996,20.0,10.0
43.83,0.7681057715111974,-0.013351139390368178,0.0,29.999999999999996,20.0,10.0
43.84,0.767939624020735,-0.013345916247388791,0.0,29.999999999999996,20.0,10.0
43.85,0.767773476943409,-0.013340689344827633,0.0,29.999999999999996,20.0,10.0
43.86,0.7676073302792412,-0.013335458682694052,0.0,29.999999999999996,20.0,10.0
43.87,0.767441184028252,-0.013330224260997394,0.0,29.999999999999996,20.0,10.0
43.88,0.7672750381904629,-0.013324986079747006,0.0,29.999999999999996,20.0,10.0
43.89,0.7671088927658956,-0.013319744138952247,0.0,29.999999999999996,20.0,10.0
43.9,0.7669427477545712,-0.013314498438622462,0.0,29.999999999999996,20.0,10.0
43.910000000000004,0.7667766031565104,-0.013309248978766997,0.0,29.999999999999996,20.0,10.0
43.92,0.7666104589717351,-0.013303995759395212,0.0,29.999999999999996,20.0,10.0
43.93,0.7664443152002665,-0.013298738780516454,0.0,29.999999999999996,20.0,10.0
43.94,0.7662781718421257,-0.013293478042140075,0.0,29.999999999999996,20.0,10.0
43.95,0.7661120288973339,-0.013288213544275425,0.0,29.999999999999996,20.0,10.0
43.96,0.7659458863659125,-0.013282945286931863,0.0,29.999999999999996,20.0,10.0
43.97,0.7657797442478829,-0.013277673270118742,0.0,29.999999999999996,20.0,10.0
43.980000000000004,0.7656136025432658,-0.013272397493845407,0.0,29.999999999999996,20.0,10.0
43.99,0.7654474612520833,-0.013267117958121225,0.0,29.999999999999996,20.0,10.0
44.0,0.7652813203743563,-0.013261834662955545,0.0,29.999999999999996,20.0,10.0
44.01,0.7651151799101057,-0.013256547608357722,0.0,29.999999999999996,20.0,10.0
44.02,0.764949039859353,-0.013251256794337111,0.0,29.999999999999996,20.0,10.0
44.03,0.7647829002221198,-0.013245962220903074,0.0,29.999999999999996,20.0,10.0
44.04,0.764616760998427,-0.013240663888064962,0.0,29.999999999999996,20.0,10.0
44.050000000000004,0.764450622188296,-0.013235361795832134,0.0,29.999999999999996,20.0,10.0
